z,UC,SBKJC,ccECP,AE
1.400000,0.006382,0.001441,0.006968,0.004032
1.500000,-0.107988,-0.115612,-0.108161,-0.110458
1.600000,-0.188628,-0.198328,-0.189414,-0.191108
1.700000,-0.243008,-0.254247,-0.244274,-0.245438
1.800000,-0.276868,-0.289211,-0.278494,-0.279218
1.900000,-0.294758,-0.307901,-0.296666,-0.297018
2.000000,-0.300358,-0.314078,-0.302481,-0.302528
2.100000,-0.296638,-0.310775,-0.298921,-0.298718
2.200000,-0.285978,-0.300428,-0.288393,-0.287978
2.300000,-0.270318,-0.285018,-0.272843,-0.272258
2.400000,-0.251218,-0.266097,-0.253811,-0.253098
